clip_id,ref_words,hyp_words,raw_wer,norm_wer,meets_target
EN2005a_clip06,6,6,0.1667,0.0,True
EN2005a_clip07,22,20,0.3182,0.2727,False
EN2005a_clip08,6,5,0.6667,0.3333,False
EN2005a_clip09,6,6,0.1667,0.0,True
EN2005a_clip10,3,4,1.3333,1.0,False
EN2005a_clip11,4,4,0.25,0.0,True
EN2005a_clip12,19,14,0.3684,0.2222,True
EN2005a_clip13,32,30,0.1875,0.0938,True
EN2005a_clip14,1,3,3.0,2.0,False
EN2005a_clip15,14,12,0.2857,0.1429,True
EN2005a_clip16,25,24,0.24,0.24,True
EN2005a_clip17,6,5,1.0,0.5,False
EN2005a_clip18,23,19,0.4348,0.2609,False
EN2005a_clip19,20,19,0.2,0.1053,True
EN2006a_clip00,14,12,0.3571,0.2143,True
EN2006a_clip01,28,17,0.5357,0.4615,False
EN2006a_clip02,4,4,0.25,0.0,True
EN2006a_clip03,7,7,0.1429,0.0,True
EN2006a_clip04,6,6,0.1667,0.0,True
EN2006a_clip05,5,4,0.6,0.2,True
EN2006a_clip06,15,15,0.2,0.0667,True
EN2006a_clip07,2,1,1.0,1.0,False
EN2006a_clip08,20,19,0.15,0.1,True
EN2006a_clip09,10,8,0.4,0.3,False
EN2006a_clip10,8,8,0.25,0.0,True
EN2006a_clip11,1,1,1.0,0.0,True
EN2006a_clip12,18,17,0.1667,0.0556,True
EN2006a_clip13,8,7,0.375,0.25,False
EN2006a_clip14,20,20,0.2,0.15,True
EN2006a_clip15,3,3,0.6667,0.0,True
EN2006a_clip16,8,8,0.25,0.0,True
EN2006a_clip17,2,1,1.0,0.5,False
EN2006a_clip18,6,4,0.5,0.3333,False
EN2006a_clip19,7,7,0.1429,0.0,True
EN2006b_clip00,15,13,0.4667,0.3333,False
EN2006b_clip01,4,1,1.0,0.5,False
EN2006b_clip02,2,2,0.5,0.0,True
EN2006b_clip03,5,2,1.0,1.0,False
EN2006b_clip04,6,6,0.3333,0.1667,True
EN2006b_clip05,2,2,0.5,0.5,False
EN2006b_clip06,14,11,0.4286,0.3571,False
EN2006b_clip07,12,12,0.0,0.0,True
EN2006b_clip08,23,23,0.1739,0.1304,True
EN2006b_clip09,8,7,0.375,0.125,True
EN2006b_clip10,15,6,0.8,0.7333,False
EN2006b_clip11,2,1,1.0,0.5,False
EN2006b_clip12,26,21,0.5,0.4231,False
EN2006b_clip13,7,7,0.2857,0.0,True
EN2006b_clip14,11,11,0.1818,0.0,True
EN2006b_clip15,5,5,0.2,0.0,True
EN2006b_clip16,4,3,0.5,0.5,False
EN2006b_clip17,3,4,1.3333,1.3333,False
EN2006b_clip18,5,1,1.0,1.0,False
EN2006b_clip19,3,3,0.3333,0.0,True
EN2009b_clip00,8,7,0.25,0.125,True
EN2009b_clip01,2,2,0.5,0.0,True
EN2009b_clip02,15,11,0.4667,0.4667,False
EN2009b_clip03,30,24,0.4667,0.3793,False
EN2009b_clip04,12,11,0.1667,0.0833,True
EN2009b_clip05,19,19,0.1579,0.0,True
EN2009b_clip06,19,14,0.3684,0.3333,False
EN2009b_clip07,5,5,0.4,0.0,True
EN2009b_clip08,3,3,1.0,0.0,True
EN2009b_clip09,26,22,0.3846,0.12,True
EN2009b_clip10,8,8,0.125,0.0,True
EN2009b_clip11,1,1,1.0,0.0,True
EN2009b_clip12,2,2,1.0,0.0,True
EN2009b_clip13,10,8,0.3,0.2,True
EN2009b_clip14,14,13,0.2143,0.1429,True
EN2009b_clip15,9,10,0.5556,0.4444,False
EN2009b_clip16,11,7,0.4545,0.3,False
EN2009b_clip17,6,6,0.1667,0.0,True
EN2009b_clip18,1,1,1.0,0.0,True
EN2009b_clip19,6,3,1.0,0.5,False
