crash_id,degree_of_crash,degree_of_crash_-_detailed,reporting_year,year_of_crash,month_of_crash,day_of_week_of_crash,two-hour_intervals,street_of_crash,street_type,distance,direction,identifying_feature,identifying_feature_type,town,route_no.,school_zone_location,school_zone_active,type_of_location,latitude,longitude,lga,urbanisation,conurbation_1,alignment,primary_permanent_feature,primary_temporary_feature,primary_hazardous_feature,street_lighting,road_surface,surface_condition,weather,natural_lighting,signals_operation,other_traffic_control,speed_limit,road_classification_(admin),rum_-_code,rum_-_description,dca_-_code,dca_-_description,dca_supplement,first_impact_type,key_tu_type,other_tu_type,no._of_traffic_units_involved,no._killed,no._seriously_injured,no._moderately_injured,no._minor-other_injured,month_num,month_label,season,day_label,time_label,time_band,is_peak_commute,is_fatal,is_injury,is_casualty
1371580,Injury,Moderate Injury,2024,2024,November,Wednesday,14:00 - 15:59,CUMBERLAND,HWY,0,Right on the spot,THE HORSLEY,DR,SMITHFIELD,13.0,No,Not a school zone,X-intersection,-33.853544,150.940641,Fairfield,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Overcast,Daylight,On,No traffic controls,70 km/h,State,10,Cross traffic,101,Adj - Cross traffic,,Right angle,4 wheel drive / SUV,Light truck utility(from 2018),5,0,0,3,0,11,November,Spring,Wednesday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371582,Injury,Serious Injury,2024,2024,December,Wednesday,12:00 - 13:59,PALM VALLEY,DR,0,Right on the spot,NUMBER 18,HN,BYRON BAY,,No,Not a school zone,2-way undivided,-28.638537,153.63306,Byron,Country urban,Rest of NSW - Urban,Straight,Driveway/entrance,,,Nil,Sealed,Wet,Fine,Daylight,Nil,No traffic controls,30 km/h,Local,53,Overtake turning,506,Ovtak - Overtaking right turn,,Other angle,Pedal cycle,Car (sedan/hatch),2,0,1,0,0,12,December,Summer,Wednesday,12:00 - 13:59,Midday / afternoon,False,False,True,True
1371586,Injury,Serious Injury,2024,2024,October,Monday,16:00 - 17:59,FOREST,RD,0,Right on the spot,SHIRLEY,ST,BEXLEY,168.0,No,Not a school zone,T-junction,-33.957157,151.11806,Bayside,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,Give way sign,60 km/h,State,20,Head on,201,Opp - Head on,,Head-on,Car (sedan/hatch),Car (sedan/hatch),3,0,2,0,0,10,October,Spring,Monday,16:00 - 17:59,PM peak / evening commute,True,False,True,True
1371587,Injury,Moderate Injury,2024,2024,October,Friday,18:00 - 19:59,MEMORIAL,AVE,30,East,ARNOLD,AVE,KELLYVILLE,642.0,No,Not a school zone,Divided road,-33.719056,150.94269,The Hills,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,Roadwks/Detour/Diverson,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,60 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Car (sedan/hatch),Car (sedan/hatch),3,0,0,1,0,10,October,Spring,Friday,18:00 - 19:59,PM peak / evening commute,True,False,True,True
1371588,Injury,Serious Injury,2024,2024,December,Sunday,22:00 - Midnight,PRINCES,HWY,225,South,RAWSON AVENUE,TO,SUTHERLAND,1.0,No,Not a school zone,Divided road,-34.047822,151.051985,Sutherland,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Curved,,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,80 km/h,State,85,Off rt/lft bnd=>obj,804,Off left bend into obj,Right,Vehicle - Object,Car (sedan/hatch),,2,0,1,1,0,12,December,Summer,Sunday,22:00 - Midnight,Evening / night,False,False,True,True
1371590,Injury,Moderate Injury,2024,2024,November,Sunday,14:00 - 15:59,ALPINE,WAY,465,South,LEATHERBARREL CREEK CAMPGROUND,OT,KOSCIUSZKO,677.0,No,Not a school zone,2-way undivided,-36.52924,148.190757,Snowy Valleys,Country urban,Rest of NSW - Urban,Curved,Steep grade,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,60 km/h,State,88,Out of cont on bend,805,Out of control on bend,,Rollover,Motorcycle,,1,0,0,1,0,11,November,Spring,Sunday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371593,Injury,Minor/Other Injury,2024,2024,October,Saturday,10:00 - 11:59,FOURTH,AVE,0,Right on the spot,TWELFTH,AVE,AUSTRAL,,No,Not a school zone,X-intersection,-33.926523,150.806965,Liverpool,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,Give way sign,60 km/h,Local,10,Cross traffic,101,Adj - Cross traffic,,Right angle,4 wheel drive / SUV,Light truck utility(from 2018),2,0,0,0,1,10,October,Spring,Saturday,10:00 - 11:59,Midday / afternoon,False,False,True,True
1371596,Injury,Moderate Injury,2024,2024,November,Saturday,00:01 - 01:59,MANCHESTER,RD,60,West,CUMBERLAND,RD,AUBURN,7467.0,No,Not a school zone,2-way undivided,-33.846037,151.025637,Cumberland,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,50 km/h,Regional,73,Off rd rght => obj,704,Right off cway into obj,,Other angle,Car (sedan/hatch),Car (sedan/hatch),3,0,0,1,1,11,November,Spring,Saturday,00:01 - 01:59,Late night / early morning,False,False,True,True
1371600,Injury,Serious Injury,2024,2024,November,Tuesday,16:00 - 17:59,M2 HILLS,EXP,200,East,CUMBERLAND HIGHWAY,OP,BEECROFT,6002.0,No,Not a school zone,Dual freeway,-33.758531,151.051255,Parramatta,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Steep grade,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,100 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Large rigid,4 wheel drive / SUV,4,0,1,0,0,11,November,Spring,Tuesday,16:00 - 17:59,PM peak / evening commute,True,False,True,True
1371601,Injury,Serious Injury,2024,2024,November,Sunday,14:00 - 15:59,MORRISONS HILL,RD,500,West,BLONDVAL,RD,WALLENDBEEN,,No,Not a school zone,2-way undivided,-34.534009,148.111549,Cootamundra-Gundagai,Country non-urban,Rest of NSW - Rural,Curved,,,,Nil,Unsealed,Dry,Fine,Daylight,Nil,No traffic controls,100 km/h,Local,87,Off lft/lft bnd=>obj,804,Off left bend into obj,Left,Vehicle - Object,Car (sedan/hatch),,1,0,2,0,0,11,November,Spring,Sunday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371603,Injury,Minor/Other Injury,2024,2024,October,Wednesday,14:00 - 15:59,M7 WESTLINK,EXP,200,East,SUNNYHOLT ROAD,TO,KINGS LANGLEY,6009.0,No,Not a school zone,Dual freeway,-33.740872,150.926343,Blacktown,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,Roadwks/Detour/Diverson,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,80 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Car (sedan/hatch),Car (sedan/hatch),2,0,0,0,1,10,October,Spring,Wednesday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371605,Injury,Minor/Other Injury,2024,2024,November,Monday,00:01 - 01:59,HUME,HWY,1700,South,WOOMARGAMA,WAY,HOLBROOK,2.0,No,Not a school zone,Divided road,-35.792104,147.257744,Greater Hume,Country non-urban,Rest of NSW - Rural,Straight,Steep grade,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,110 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Car (sedan/hatch),B-double (road train prior 98),2,0,0,0,1,11,November,Spring,Monday,00:01 - 01:59,Late night / early morning,False,False,True,True
